id,first_name,last_name,email,gender,age,salary,department,date_of_joining,performance_score,location,phone_number,education,marital_status,children,credit_score,country,city,street_address,zip_code,job_title,company,emergency_contact,emergency_contact_name,relationship
1,Frank,Jones,test.com,Other,20,55422,Finance,2010-09-01,4,New York,+13899697793,Master's,Divorced,3,742,USA,CityA,101 Maple St,12345,Developer,CompanyC,+14066485394,PersonB,Spouse
2,Bob,Miller,email.com,Female,38,73080,Sales,2010-06-27,3,Phoenix,+12004305881,Associate,Married,2,739,UK,CityD,456 Oak St,44556,Consultant,CompanyA,+12153317286,PersonC,Friend
3,Hannah,Miller,test.com,Other,29,90593,HR,2014-10-11,1,Chicago,+14528175468,Bachelor's,Widowed,3,839,Germany,CityC,789 Pine St,67890,Engineer,CompanyB,+13357255674,PersonB,Spouse
4,Charlie,Miller,example.com,Female,64,59338,IT,2018-09-22,1,Phoenix,+12218643108,PhD,Married,3,831,Canada,CityD,456 Oak St,67890,Analyst,CompanyB,+11865059733,PersonB,Sibling
5,David,Williams,email.com,Female,50,44439,IT,2011-05-10,4,New York,+13168166718,Bachelor's,Married,1,543,Canada,CityB,101 Maple St,11223,Developer,CompanyB,+15575289045,PersonA,Friend
6,Frank,Williams,email.com,Female,41,35965,Sales,2019-02-26,3,Chicago,+18742468197,PhD,Widowed,2,722,Germany,CityB,789 Pine St,44556,Manager,CompanyB,+16437588108,PersonA,Spouse
7,Frank,Jones,example.com,Other,39,92798,IT,2010-07-16,2,New York,+12022204312,Bachelor's,Married,3,705,UK,CityA,789 Pine St,12345,Engineer,CompanyC,+17996431500,PersonD,Parent
8,Bob,Johnson,test.com,Other,37,53352,IT,2016-08-27,2,Los Angeles,+16222836920,Master's,Widowed,1,825,UK,CityD,123 Main St,11223,Engineer,CompanyC,+12006003562,PersonC,Sibling
9,Alice,Johnson,example.com,Other,61,97451,HR,2010-05-06,3,Chicago,+17288120830,Bachelor's,Divorced,4,408,Canada,CityD,789 Pine St,44556,Analyst,CompanyC,+19955274526,PersonC,Sibling
10,Hannah,Miller,example.com,Other,41,106037,Sales,2011-08-24,2,New York,+18574827305,Bachelor's,Divorced,0,348,UK,CityA,123 Main St,78901,Consultant,CompanyD,+17505114323,PersonB,Parent
11,Hannah,Brown,example.com,Male,45,45553,Finance,2016-10-14,1,Los Angeles,+14568573591,High School,Widowed,1,413,USA,CityB,789 Pine St,11223,Manager,CompanyA,+12027977653,PersonB,Spouse
12,David,Brown,example.com,Female,41,112605,Finance,2021-03-25,1,Phoenix,+11550959389,Master's,Widowed,0,584,Germany,CityB,123 Main St,67890,Engineer,CompanyC,+19036645410,PersonD,Sibling
13,Frank,Jones,email.com,Other,51,56279,HR,2016-02-04,1,Los Angeles,+18583003471,Associate,Divorced,0,455,UK,CityB,789 Pine St,44556,Developer,CompanyB,+14303249321,PersonA,Parent
14,Charlie,Johnson,test.com,Female,41,97941,Sales,2017-09-12,4,Los Angeles,+17074496056,Associate,Widowed,4,383,USA,CityD,789 Pine St,44556,Consultant,CompanyD,+16133921831,PersonB,Sibling
15,David,Jones,email.com,Male,34,61090,Finance,2011-03-18,4,Houston,+16309503389,Master's,Married,0,567,Canada,CityA,123 Main St,44556,Consultant,CompanyC,+19994050015,PersonB,Sibling
16,Grace,Davis,example.com,Male,47,53129,HR,2017-02-24,4,Houston,+11048412658,Bachelor's,Married,2,760,France,CityC,101 Maple St,44556,Developer,CompanyA,+17847832084,PersonC,Sibling
17,Frank,Williams,email.com,Male,18,87911,IT,2011-01-07,4,New York,+16081134198,Bachelor's,Married,4,737,Germany,CityC,789 Pine St,78901,Consultant,CompanyD,+19226881648,PersonC,Sibling
18,David,Jones,email.com,Male,19,101478,IT,2019-07-13,1,Phoenix,+12213079091,PhD,Widowed,1,550,Germany,CityA,456 Oak St,11223,Engineer,CompanyB,+16698094312,PersonC,Parent
19,Charlie,Smith,example.com,Male,67,36113,IT,2018-09-13,4,Phoenix,+11341237036,Bachelor's,Married,4,547,Germany,CityC,101 Maple St,12345,Consultant,CompanyA,+14572121468,PersonB,Parent
20,Grace,Miller,test.com,Other,46,77134,Marketing,2017-05-17,1,Houston,+18071897525,Master's,Divorced,2,409,UK,CityE,101 Maple St,67890,Manager,CompanyB,+14418285785,PersonD,Spouse
21,David,Davis,example.com,Other,55,68957,HR,2015-06-04,1,Houston,+16069191280,Bachelor's,Divorced,1,457,France,CityB,456 Oak St,67890,Engineer,CompanyA,+17959376810,PersonD,Spouse
22,Charlie,Miller,test.com,Male,43,83097,HR,2016-02-18,3,Los Angeles,+14123470626,Associate,Married,2,528,USA,CityC,789 Pine St,44556,Manager,CompanyA,+14987159702,PersonC,Sibling
23,Bob,Brown,example.com,Other,37,31909,Sales,2014-03-26,4,Chicago,+12489740284,Associate,Widowed,3,517,USA,CityD,456 Oak St,67890,Analyst,CompanyC,+15392877465,PersonB,Sibling
24,Bob,Jones,example.com,Other,50,88008,Marketing,2011-03-11,1,Los Angeles,+12993427752,Master's,Divorced,4,735,France,CityA,789 Pine St,11223,Analyst,CompanyA,+19713975577,PersonC,Parent
25,Hannah,Williams,email.com,Other,63,35626,HR,2017-06-22,4,Los Angeles,+19860361465,Associate,Divorced,2,383,USA,CityC,789 Pine St,67890,Consultant,CompanyC,+18744287155,PersonD,Sibling
26,Frank,Davis,email.com,Female,50,68684,Finance,2013-04-26,3,Los Angeles,+16045780332,Associate,Single,2,707,Canada,CityD,123 Main St,12345,Developer,CompanyA,+16865090319,PersonA,Spouse
27,Grace,Johnson,example.com,Female,45,79836,Marketing,2021-07-30,4,New York,+13322712280,Bachelor's,Married,2,751,USA,CityB,123 Main St,67890,Engineer,CompanyD,+13009418043,PersonD,Parent
28,Bob,Miller,email.com,Other,29,112168,Sales,2010-06-03,3,New York,+15516267346,Associate,Married,1,783,Canada,CityA,123 Main St,67890,Developer,CompanyC,+11466164717,PersonA,Spouse
29,Bob,Brown,example.com,Female,69,39832,Sales,2019-09-03,2,Houston,+11103302135,Master's,Married,4,560,France,CityE,789 Pine St,67890,Analyst,CompanyC,+12173263873,PersonD,Friend
30,Hannah,Jones,test.com,Female,67,104392,IT,2019-01-17,4,New York,+14920117511,Bachelor's,Married,0,591,Canada,CityE,456 Oak St,78901,Consultant,CompanyD,+19957388564,PersonB,Parent
